ticker,E_score,S_score,G_score,ESG_score
AAL UW Equity,96.3,99.95,73.3,89.85
AAME UQ Equity,52.08,63.8,5.62,40.5
AAOI UQ Equity,85.16,23.35,61.09,56.53
AAON UW Equity,83.33,30.98,46.2,53.5
AAPL UW Equity,44.38,95.57,37.39,59.11
AATC UR Equity,58.76,54.03,1.01,37.93
AAWW UW Equity,83.79,80.04,55.22,73.02
ABCB UW Equity,74.06,63.8,91.79,76.55
ABCL UW Equity,8.21,5.17,35.03,16.13
ABCM UW Equity,83.99,94.43,11.5,63.31
ABEO UR Equity,3.34,66.44,12.11,27.3
ABMD UW Equity,85.51,83.84,57.29,75.55
ABNB UW Equity,43.06,12.01,55.85,36.97
ABST UW Equity,75.53,83.84,72.8,77.39
ABTX UQ Equity,50.61,54.03,87.69,64.11
ACAD UW Equity,36.32,22.87,42.45,33.88
ACB UW Equity,26.8,66.44,21.12,38.12
ACBI UW Equity,28.22,75.58,36.07,46.62
ACER UR Equity,1.98,5.17,41.03,16.06
ACET UQ Equity,6.84,30.98,82.67,40.16
ACGL UW Equity,69.45,85.99,60.44,71.96
ACHC UW Equity,44.73,66.44,81.81,64.33
ACHV UR Equity,48.73,19.58,21.68,30.0
ACIW UW Equity,80.9,87.72,70.26,79.63
ACLS UW Equity,93.11,87.72,94.17,91.67
ACNB UR Equity,26.65,30.98,94.12,50.58
ACOR UW Equity,26.39,66.44,46.25,46.36
ACRS UW Equity,5.22,30.98,49.04,28.41
ACRX UQ Equity,3.29,30.98,56.79,30.35
ACTG UW Equity,25.84,30.98,49.19,35.33
ADAP UW Equity,4.81,30.98,34.09,23.29
ADBE UW Equity,87.69,8.59,97.26,64.51
ADES UQ Equity,80.5,24.21,35.92,46.88
ADI UW Equity,75.43,94.83,67.02,79.09
ADMA UQ Equity,22.64,41.13,9.32,24.37
ADMP UR Equity,2.79,16.13,21.73,13.55
ADP UW Equity,79.69,87.72,98.28,88.56
ADPT UW Equity,30.24,54.03,35.03,39.77
ADSK UW Equity,95.39,93.03,51.57,80.0
ADTN UW Equity,90.53,87.72,83.59,87.28
ADUS UW Equity,66.21,45.59,70.47,60.76
ADVM UQ Equity,5.78,54.03,28.88,29.56
AEHL UR Equity,13.42,13.88,57.35,28.22
AEHR UR Equity,58.31,8.59,50.96,39.29
AEIS UW Equity,92.91,93.03,89.01,91.65
AEP UW Equity,99.75,73.2,78.06,83.67
AERI UQ Equity,55.88,54.03,33.43,47.78
AEY UR Equity,20.11,8.59,50.96,26.55
AFIN UW Equity,64.18,63.8,34.25,54.08
AFMD UQ Equity,18.39,54.03,40.32,37.58
AFRM UW Equity,40.73,8.59,45.67,31.66
AFYA UW Equity,44.93,99.01,37.69,60.55
AGEN UR Equity,33.38,30.98,45.09,36.48
AGFS UW Equity,51.93,91.01,66.92,69.95
AGIO UW Equity,47.87,75.58,32.12,51.86
AGLE UQ Equity,14.64,30.98,25.38,23.67
AGNC UW Equity,73.56,2.08,42.35,39.33
AGRX UR Equity,4.1,54.03,43.16,33.76
