ticker,AGE_OF_OLDEST_DIRECTOR,AGE_OF_YOUNGEST_DIRECTOR,AUDIT_COMMITTEE_MEETINGS,AVERAGE_BOD_TOTAL_COMPENSATION,BOARD_MEETINGS_PER_YR,BOARD_OF_DIRECTORS_AGE_RANGE,BOARD_SIZE,BOD_AGE_RANGE,BOD_AVERAGE_AGE,HIGHEST_BONUS_AMOUNT_PAID,HIGHEST_SALARY_AMOUNT_PAID,INDEPENDENT_DIRECTORS,NOMINATION_CMTE_MTG_ATTEND_%,NUMBER_OF_BOD_CHANGES_DURING_FY,NUMBER_OF_DIRECTORS_ON_BOARD,NUMBER_OF_MEMBERS_OF_AUD_CMTE,NUMBER_OF_WOMEN_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,NUM_BRD_MEMB_SERVING_OVER_5Y,NUM_CEO_&_EQUIVALENT_CHANGES,NUM_CFO_&_EQUIVALENT_CHANGES,NUM_EXECUTIVE_CHANGES,NUM_OF_MEMBERS_OF_CMPNSTN_CMTE,NUM_OF_NON_EXECUTIVE_DIR_ON_BRD,PCT_BRD_MEMBERS_THAT_ARE_WOMEN,PCT_EXECUTIVES_HOLDING_SHARES,PCT_INDEPENDENT_DIRECTORS,PCT_NON_EXEC_DIR_ON_AUD_CMTE,PCT_NON_EXEC_DIR_ON_CMPNSTN_CMTE,PCT_NON_EXEC_DIR_ON_NOM_CMTE,PCT_OF_EXECUTIVES_THAT_ARE_WOMEN,PCT_OF_NON_EXECUTIVE_DIR_ON_BRD,PCT_OF_NON_EXEC_DIR_ON_BRD,PCT_WOMEN_ON_BOARD,PERCENTAGE_OF_FEMALE_EXECUTIVES,SIZE_OF_AUDIT_COMMITTEE,SIZE_OF_COMPENSATION_COMMITTEE,SIZE_OF_CSR_SUSTAIN_COMMTTEE,SIZE_OF_NOMINATION_COMMITTEE,TOTAL_BONUSES_PAID_TO_EXECUTIVES,YEARS_AUDITOR_EMPLOYED,GICS_SECTOR_NAME
AAL UW Equity,73.0,57.0,6.0,230253.1,11.0,16.0,11.0,18.0,64.15380096,0.0,687139.0,10.0,75.0,1.0,13.0,6.0,6.0,2.0,10.0,0.0,0.0,0.0,5.0,12.0,23.07690048,42.85710144,90.90910339,100.0,100.0,100.0,42.85710144,92.30770111,90.90910339,18.18180084,20.0,4.0,5.0,5.0,5.0,0.0,7.0,Industrials
AAME UQ Equity,76.0,46.0,5.0,42000.0,4.0,30.0,6.0,30.0,60.66669846,675000.0,500000.0,3.0,,0.0,6.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,5.0,16.66670036,28.57139969,50.0,100.0,100.0,,0.0,83.33329773,83.33329773,16.66670036,0.0,3.0,3.0,0.0,0.0,900000.0,3.0,Financials
AAOI UQ Equity,87.0,54.0,8.0,149854.5714,8.0,33.0,7.0,33.0,65.14289856,5891.0,535986.0,6.0,75.0,2.0,7.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,6.0,28.57139969,71.4285965,85.71430206,100.0,100.0,100.0,14.28569984,85.71430206,85.71430206,14.28569984,0.0,3.0,3.0,0.0,3.0,10272.0,13.0,Information Technology
AAON UW Equity,85.0,47.0,5.0,152898.0,5.0,38.0,7.0,,,0.0,559260.0,5.0,75.0,1.0,9.0,6.0,1.0,2.0,5.0,1.0,0.0,3.0,3.0,7.0,22.22220039,83.33329773,71.4285965,100.0,100.0,100.0,16.66670036,77.77780151,71.4285965,28.57139969,0.0,4.0,3.0,0.0,3.0,0.0,17.0,Industrials
AAPL UW Equity,72.0,59.0,8.0,401859.0,4.0,13.0,7.0,12.0,66.77780151,0.0,3000000.0,6.0,75.0,1.0,9.0,4.0,4.0,2.0,7.0,0.0,0.0,0.0,3.0,8.0,33.33330154,29.41180038,85.71430206,100.0,100.0,100.0,23.52939987,88.88890076,85.71430206,28.57139969,40.0,3.0,3.0,0.0,3.0,0.0,12.0,Information Technology
AATC UR Equity,73.0,48.0,4.0,56816.14286,5.0,25.0,5.0,,,0.0,275000.0,5.0,66.66000366,3.0,6.0,3.0,,0.0,3.0,1.0,1.0,4.0,3.0,5.0,0.0,66.66670227,100.0,66.66670227,66.66670227,50.0,,83.33329773,100.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,5.0,Information Technology
AAWW UW Equity,83.0,56.0,8.0,246953.4444,16.0,27.0,10.0,26.0,68.30000305,500000.0,850032.0,8.0,75.0,0.0,10.0,5.0,5.0,3.0,6.0,1.0,0.0,2.0,5.0,9.0,40.0,21.42860031,80.0,100.0,100.0,100.0,17.85709953,90.0,90.0,30.0,0.0,5.0,5.0,4.0,4.0,1500000.0,14.0,Industrials
ABCB UW Equity,81.0,46.0,9.0,303759.75,8.0,35.0,13.0,34.0,65.84619904,0.0,850000.0,11.0,75.0,0.0,13.0,4.0,2.0,2.0,8.0,0.0,0.0,0.0,4.0,11.0,15.38459969,92.30770111,84.61540222,100.0,100.0,100.0,15.38459969,84.61540222,84.61540222,15.38459969,18.18180084,4.0,4.0,4.0,4.0,0.0,7.0,Financials
ABCL UW Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Care
ABCM UW Equity,,,5.0,107333.6667,8.0,,7.0,,,3103245.0,629760.0,4.0,100.0,3.0,8.0,2.0,,2.0,2.0,0.0,0.0,0.0,4.0,6.0,37.5,16.66670036,57.14289856,100.0,100.0,100.0,,75.0,71.4285965,28.57139969,0.0,3.0,4.0,0.0,4.0,3906047.0,8.0,Health Care
ABEO UR Equity,64.0,38.0,4.0,172864.3,23.0,26.0,4.0,,,146204.0,450477.0,2.0,75.0,8.0,9.0,4.0,,1.0,1.0,2.0,1.0,7.0,2.0,8.0,33.33330154,40.0,50.0,100.0,100.0,100.0,,88.88890076,100.0,25.0,0.0,2.0,1.0,0.0,1.0,266485.0,15.0,Health Care
ABMD UW Equity,73.0,34.0,6.0,257919.7143,6.0,39.0,8.0,39.0,62.33330154,0.0,608363.0,7.0,75.0,1.0,9.0,3.0,1.0,2.0,7.0,0.0,0.0,1.0,3.0,8.0,33.33330154,54.54550171,87.5,100.0,100.0,100.0,9.090909958,88.88890076,87.5,25.0,0.0,3.0,3.0,3.0,3.0,0.0,15.0,Health Care
ABNB UW Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer
ABST UW Equity,62.0,48.0,4.0,152083.3333,29.0,14.0,6.0,,,0.0,420000.0,5.0,91.66000366,0.0,7.0,3.0,3.0,2.0,4.0,0.0,1.0,5.0,3.0,6.0,28.57139969,73.33329773,83.33329773,100.0,100.0,100.0,20.0,85.71430206,83.33329773,33.33330154,20.0,3.0,3.0,0.0,3.0,0.0,19.0,Information Technology
ABTX UQ Equity,80.0,51.0,5.0,101246.0714,11.0,29.0,15.0,29.0,64.19999695,15000.0,540000.0,11.0,75.0,2.0,15.0,3.0,1.0,3.0,8.0,0.0,0.0,0.0,6.0,12.0,20.0,100.0,73.33329773,100.0,100.0,100.0,16.66670036,80.0,73.33329773,20.0,0.0,4.0,7.0,0.0,6.0,37500.0,8.0,Financials
ACAD UW Equity,68.0,50.0,4.0,389682.0,11.0,18.0,8.0,18.0,61.125,0.0,767624.0,7.0,75.0,1.0,8.0,3.0,5.0,2.0,7.0,0.0,0.0,0.0,3.0,7.0,25.0,41.66669846,87.5,100.0,100.0,100.0,41.66669846,87.5,87.5,25.0,25.0,3.0,3.0,0.0,3.0,0.0,6.0,Health Care
ACB UW Equity,66.0,49.0,12.0,211280.7143,20.0,17.0,8.0,,,0.0,694229.0,6.0,100.0,2.0,9.0,3.0,2.0,2.0,2.0,1.0,0.0,4.0,5.0,7.0,33.33330154,72.72730255,75.0,66.66670227,80.0,66.66670227,18.18180084,77.77780151,75.0,25.0,16.66670036,4.0,4.0,0.0,3.0,0.0,7.0,Health Care
ACBI UW Equity,74.0,48.0,8.0,59674.4,9.0,26.0,10.0,,,0.0,468000.0,9.0,75.0,3.0,0.0,,1.0,4.0,,0.0,0.0,2.0,,,,0.0,90.0,,,,16.66670036,,90.0,40.0,14.28569984,5.0,4.0,0.0,3.0,0.0,14.0,Financials
ACER UR Equity,,,,93769.66667,,,,,,0.0,436000.0,,,2.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,Health Care
ACET UQ Equity,68.0,46.0,11.0,136728.6667,23.0,22.0,7.0,22.0,58.0,0.0,479167.0,6.0,75.0,0.0,8.0,4.0,0.0,1.0,1.0,0.0,,1.0,3.0,7.0,12.5,83.33329773,85.71430206,100.0,100.0,100.0,0.0,87.5,85.71430206,14.28569984,16.66670036,3.0,3.0,0.0,3.0,0.0,1.0,Health Care
ACGL UW Equity,76.0,53.0,5.0,311119.5,14.0,23.0,11.0,36.0,62.69229889,3600451.0,1000000.0,9.0,75.0,2.0,13.0,5.0,6.0,2.0,7.0,0.0,0.0,2.0,5.0,12.0,23.07690048,30.0,81.81819916,100.0,100.0,100.0,30.0,92.30770111,90.90910339,18.18180084,10.0,4.0,4.0,0.0,8.0,3998451.0,26.0,Financials
ACHC UW Equity,74.0,55.0,4.0,398410.75,7.0,19.0,9.0,19.0,63.55559921,410000.0,918000.0,8.0,75.0,1.0,9.0,3.0,1.0,2.0,6.0,0.0,0.0,0.0,3.0,8.0,22.22220039,100.0,88.88890076,100.0,100.0,100.0,20.0,88.88890076,88.88890076,22.22220039,20.0,3.0,3.0,0.0,4.0,410000.0,15.0,Health Care
ACHV UR Equity,67.0,43.0,4.0,66814.0,10.0,24.0,7.0,24.0,61.0,0.0,473846.0,4.0,75.0,0.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,25.0,80.0,57.14289856,100.0,100.0,100.0,40.0,62.5,71.4285965,14.28569984,20.0,4.0,3.0,0.0,4.0,0.0,4.0,Health Care
ACIW UW Equity,72.0,54.0,9.0,298605.6667,13.0,18.0,10.0,18.0,61.40000153,0.0,547355.0,9.0,,2.0,10.0,4.0,2.0,2.0,5.0,2.0,0.0,5.0,5.0,9.0,20.0,58.33330154,90.0,100.0,100.0,100.0,16.66670036,90.0,90.0,20.0,16.66670036,4.0,4.0,0.0,4.0,0.0,12.0,Information Technology
ACLS UW Equity,74.0,59.0,10.0,195085.625,6.0,15.0,9.0,,,0.0,615000.0,8.0,96.0,1.0,10.0,3.0,2.0,1.0,6.0,0.0,0.0,1.0,4.0,9.0,30.0,100.0,88.88890076,100.0,100.0,100.0,33.33330154,90.0,88.88890076,11.1111002,28.57139969,4.0,4.0,0.0,3.0,0.0,22.0,Information Technology
ACNB UR Equity,71.0,50.0,5.0,53596.53846,13.0,21.0,14.0,21.0,62.76919937,63900.0,455196.0,12.0,75.0,0.0,13.0,4.0,1.0,3.0,10.0,0.0,0.0,0.0,6.0,12.0,23.07690048,75.0,85.71430206,100.0,100.0,100.0,25.0,92.30770111,92.85710144,21.42860031,33.33330154,5.0,7.0,0.0,6.0,145800.0,3.0,Financials
ACOR UW Equity,77.0,57.0,6.0,85058.42857,17.0,20.0,7.0,17.0,69.16670227,45000.0,795675.0,6.0,75.0,1.0,6.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,2.0,5.0,16.66670036,42.85710144,85.71430206,100.0,100.0,100.0,42.85710144,83.33329773,85.71430206,28.57139969,25.0,3.0,3.0,0.0,3.0,75000.0,11.0,Health Care
ACRS UW Equity,63.0,45.0,6.0,82886.75,5.0,18.0,9.0,17.0,56.33330154,0.0,423784.0,8.0,75.0,1.0,9.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,8.0,11.1111002,50.0,88.88890076,100.0,100.0,100.0,0.0,88.88890076,88.88890076,11.1111002,25.0,3.0,3.0,0.0,3.0,0.0,6.0,Health Care
ACRX UQ Equity,70.0,53.0,4.0,85763.0,14.0,17.0,8.0,16.0,61.90000153,0.0,636540.0,6.0,75.0,0.0,10.0,3.0,2.0,1.0,8.0,0.0,0.0,0.0,3.0,8.0,30.0,83.33329773,75.0,100.0,100.0,100.0,33.33330154,80.0,75.0,12.5,25.0,3.0,3.0,0.0,3.0,0.0,6.0,Health Care
ACTG UW Equity,68.0,39.0,7.0,190138.4,30.0,29.0,6.0,30.0,59.20000076,10000.0,475000.0,4.0,75.0,1.0,5.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,4.0,40.0,70.0,66.66670227,100.0,100.0,100.0,20.0,80.0,66.66670227,33.33330154,0.0,3.0,3.0,0.0,3.0,20000.0,14.0,Industrials
ADAP UW Equity,71.0,44.0,7.0,,8.0,27.0,9.0,27.0,58.44440079,,,7.0,75.0,,9.0,1.0,3.0,1.0,7.0,,,,2.0,8.0,11.1111002,54.54550171,77.77780151,100.0,100.0,,27.27269936,88.88890076,88.88890076,11.1111002,12.5,3.0,3.0,0.0,3.0,,11.0,Health Care
ADBE UW Equity,81.0,46.0,8.0,402739.0,8.0,35.0,10.0,35.0,58.08330154,3100000.0,1019231.0,9.0,75.0,1.0,12.0,4.0,2.0,4.0,6.0,0.0,1.0,3.0,4.0,11.0,33.33330154,100.0,90.0,100.0,100.0,100.0,22.22220039,91.66670227,90.0,40.0,20.0,4.0,4.0,4.0,4.0,5431617.0,39.0,Information Technology
ADES UQ Equity,76.0,43.0,10.0,136112.3333,24.0,33.0,6.0,33.0,59.0,0.0,457308.0,5.0,75.0,2.0,4.0,3.0,,1.0,3.0,0.0,0.0,2.0,3.0,4.0,25.0,33.33330154,83.33329773,100.0,100.0,100.0,,100.0,83.33329773,16.66670036,0.0,3.0,3.0,0.0,3.0,0.0,3.0,Utilities
ADI UW Equity,87.0,52.0,8.0,291510.25,10.0,35.0,13.0,27.0,65.27269745,400000.0,1050000.0,10.0,92.0,2.0,11.0,3.0,3.0,4.0,5.0,0.0,0.0,2.0,3.0,10.0,36.36360168,46.15380096,76.92310333,100.0,100.0,100.0,23.07690048,90.90910339,76.92310333,30.76919937,0.0,3.0,4.0,0.0,3.0,400000.0,54.0,Information Technology
ADMA UQ Equity,73.0,44.0,4.0,98006.14286,13.0,29.0,6.0,,,486000.0,600000.0,4.0,,3.0,8.0,3.0,4.0,1.0,5.0,0.0,0.0,0.0,3.0,6.0,25.0,4.761899948,66.66670227,100.0,100.0,100.0,19.04759979,75.0,83.33329773,16.66670036,0.0,3.0,3.0,0.0,3.0,941800.0,13.0,Health Care
