ticker,CUR_MKT_CAP
AAL UW Equity,12054995579
AAME UQ Equity,60728156.48
AAOI UQ Equity,71304106.37
AAON UW Equity,2602239701
AAPL UW Equity,2.55661E+12
AATC UR Equity,34693627.65
AAWW UW Equity,1959358662
ABCB UW Equity,2985186221
ABCL UW Equity,2296124255
ABCM UW Equity,3576057108
ABEO UR Equity,31697490.22
ABMD UW Equity,13012661950
ABNB UW Equity,98641312331
ABST UW Equity,407796272.7
ABTX UQ Equity,848745949.1
ACAD UW Equity,3154312206
ACB UW Equity,704395399.3
ACBI UW Equity,
ACER UR Equity,30194614.84
ACET UQ Equity,611422391.4
ACGL UW Equity,17238533279
ACHC UW Equity,6056981821
ACHV UR Equity,65093778.99
ACIW UW Equity,3177527143
ACLS UW Equity,1858554457
ACNB UR Equity,296909654.8
ACOR UW Equity,17404183.16
ACRS UW Equity,799555325.8
ACRX UQ Equity,35894597.71
ACTG UW Equity,223543225.2
ADAP UW Equity,293338142.8
ADBE UW Equity,1.92445E+11
ADES UQ Equity,112480770
ADI UW Equity,82762287809
ADMA UQ Equity,370613458.5
ADMP UR Equity,63397064.4
ADP UW Equity,91620305377
ADPT UW Equity,1231648400
ADSK UW Equity,41918708185
ADTN UW Equity,872872614.9
ADUS UW Equity,1354980408
ADVM UQ Equity,109630591.9
AEHL UR Equity,6695080.44
AEHR UR Equity,219421040.1
AEIS UW Equity,2922817022
AEP UW Equity,50394089991
AERI UQ Equity,364771912.5
AEY UR Equity,14853204.78
AFIN UW Equity,
AFMD UQ Equity,589714349.4
AFRM UW Equity,8636113761
AFYA UW Equity,1370091748
AGEN UR Equity,524330803.4
AGFS UW Equity,96972171.5
AGIO UW Equity,1291922899
AGLE UQ Equity,75118206.96
AGNC UW Equity,5860960000
AGRX UR Equity,7572199.5
AGTC UQ Equity,46725436.32
AGYS UW Equity,931483173.1
AIMC UW Equity,2539907147
AIRG UR Equity,86812290.72
AIRT UQ Equity,50289138.44
AKAM UW Equity,18070518060
AKBA UQ Equity,79010988.79
AKTS UR Equity,251272963
ALBO UR Equity,629817962.4
ALCO UW Equity,298194721.8
ALDX UR Equity,177819547.5
ALEC UW Equity,839935373.8
ALGM UW Equity,4770634756
ALGN UW Equity,24341360060
ALGT UW Equity,2821396384
ALIM UQ Equity,38459597
ALJJ UQ Equity,100933015.4
ALKS UW Equity,4719770114
ALLK UW Equity,214115478.7
ALLO UW Equity,1307921807
ALNY UW Equity,16799125379
ALOT UQ Equity,97322257.9
ALRM UW Equity,3119935675
ALRS UR Equity,434634775.5
ALT UQ Equity,204011059
ALTM UQ Equity,4749871182
ALTO UR Equity,423011889.1
ALTR UW Equity,4428616672
ALVR UW Equity,297396585.8
AMAL UQ Equity,571552797.2
AMAT UW Equity,99797092368
AMBA UW Equity,3232306792
AMCX UW Equity,1430914759
AMD UW Equity,1.45555E+11
AMED UW Equity,4132839402
AMEH UR Equity,2159551171
AMGN UW Equity,1.23357E+11
AMKR UW Equity,4775540877
AMNB UW Equity,372952878
AMOT UQ Equity,372410479.7
AMPH UW Equity,1723542151
AMRN UQ Equity,1083094224
AMRS UW Equity,1154131213
AMSC UW Equity,159363394.4
AMSF UW Equity,909412263.5
AMSWA UW Equity,570480050
AMTB UW Equity,907868329.2
AMTX UQ Equity,311096953
AMWD UW Equity,795886830.6
AMZN UW Equity,1.26671E+12
ANAB UW Equity,677874863.3
ANAT UW Equity,5088133728
ANDE UW Equity,1747650568
ANGI UW Equity,2325500201
ANGO UW Equity,819035733.1
ANIK UW Equity,313761727.2
ANIP UQ Equity,520925993.1
ANSS UW Equity,24361203576
ANTE UR Equity,20820605.13
AOSL UW Equity,1197828236
APA UW Equity,14088713308
APDN UR Equity,11528624.8
APEI UW Equity,367321737
APEN UQ Equity,202485109.3
APLS UW Equity,4787059665
APLT UQ Equity,53785708.55
APOG UW Equity,997135990.6
APPF UQ Equity,3644824406
APPN UQ Equity,3681641945
APPS UR Equity,3180325982
APTO UR Equity,110670526.8
APVO UR Equity,22432439.68
APWC UR Equity,29481204.61
APYX UW Equity,130483965.7
AQB UR Equity,96709193.36
AQMS UR Equity,71974411.2
ARAV UW Equity,43525792.28
ARAY UW Equity,247781908.7
ARCB UW Equity,1858943598
ARDX UQ Equity,114272107.8
ARGX UW Equity,15729137464
ARKR UQ Equity,63040296.5
ARLP UW Equity,2255171233
ARNA UW Equity,
AROW UW Equity,498164430
ARRY UQ Equity,1082750985
ARTL UR Equity,16302810.41
ARTNA UW Equity,433062000.2
ARTW UR Equity,13163675.48
ARVN UW Equity,2980483830
ARWR UW Equity,4540040774
ASMB UW Equity,86135582.23
ASML UW Equity,2.32134E+11
ASND UW Equity,5184175946
ASO UW Equity,3297059690
ASPS UW Equity,168919440.1
ASRT UR Equity,99731066.6
ASRV UQ Equity,67580881.8
ASTC UR Equity,26549216.92
ASTE UW Equity,909564341.6
ASUR UR Equity,122432654.7
ASYS UW Equity,129638974.1
ATEC UW Equity,1119662379
ATEX UR Equity,961560505.5
ATHE UR Equity,28710002.04
ATHX UR Equity,143599294.8
ATLC UW Equity,679304230.9
ATLO UR Equity,210029057.7
ATNI UW Equity,619478393
ATNX UW Equity,56183110.46
ATRA UW Equity,648235738.4
ATRC UQ Equity,2533204755
ATRI UW Equity,1146891946
ATRO UW Equity,307287431.6
ATRS UR Equity,953610062.6
ATSG UW Equity,2353516575
ATVI UW Equity,61031118343
AUB UW Equity,2596830403
AUBN UQ Equity,107408294.3
AUTL UW Equity,294541728.8
AUTO UR Equity,36954521.87
AVAV UW Equity,2135905768
AVCO UR Equity,48655514.24
AVDL UQ Equity,296341829.7
AVEO UR Equity,178923744.9
AVGO UW Equity,2.35313E+11
AVGR UR Equity,14331952.8
AVID UW Equity,1434791057
AVNW UW Equity,348808357.4
AVRO UW Equity,40589650.98
AVT UW Equity,4306787432
AVTX UR Equity,47384844.68
AVXL UW Equity,696097402
AWH UR Equity,78546344.8
AWRE UQ Equity,58650524.6
AXDX UR Equity,68302870.33
AXGN UR Equity,314826645
AXNX UW Equity,2710908780
AXON UW Equity,8253921484
AXSM UQ Equity,1324617242
AXTI UW Equity,254274963.8
AY UW Equity,3384788284
AZN UW Equity,2.05862E+11
AZPN UW Equity,10550248611
AZTA UW Equity,5629186362
BAND UW Equity,587481844
BANF UW Equity,2711969395
BANR UW Equity,1852108161
BATRA UW Equity,1327064332
BATRK UW Equity,1327064332
BBBY UW Equity,1095484225
BBCP UR Equity,308668407
BBGI UQ Equity,48470170.65
BBI UR Equity,26919577.99
BBIO UW Equity,1243574791
BBQ UW Equity,147817463.8
BBSI UW Equity,530843733
BCAB UQ Equity,137570702.2
BCBP UQ Equity,320148400
BCEL UW Equity,80656101.24
BCML UW Equity,303016787.6
BCOR UW Equity,1000548567
BCOV UW Equity,293357741.3
BCPC UW Equity,3922850870
BCRX UW Equity,1781544960
BDSI UW Equity,577048969.6
BEAT UR Equity,12584856.42
BECN UW Equity,4265046402
BELFA UW Equity,218459606.7
BELFB UW Equity,218459606.7
BFIN UW Equity,133761622.8
BFRA UR Equity,
BFST UW Equity,501385567.5
BGCP UW Equity,1794231372
BGFV UW Equity,338656041.2
BGNE UW Equity,18705400570
BHF UW Equity,3970061679
BIDU UW Equity,44182088592
BIGC UQ Equity,1364550995
BIIB UW Equity,30507330393
BIMI UR Equity,10048486.08
BIOL UR Equity,29202206.44
BJRI UW Equity,683246587.7
BKNG UW Equity,89371741901
BKR UW Equity,31687910517
BKSC UR Equity,99964072.76
BL UW Equity,3979717097
BLBD UQ Equity,516400675.1
BLCM UR Equity,12742298.28
BLDE UR Equity,604313275.1
BLDP UQ Equity,2533889721
BLFS UR Equity,558756122.7
BLI UW Equity,366229036.8
BLIN UR Equity,14898242.96
BLKB UW Equity,3119763825
BLMN UW Equity,2068743234
BLNK UR Equity,827494399.6
BLUE UW Equity,282215247.1
BMRC UR Equity,513243373.3
BMRN UW Equity,15411962442
BNFT UQ Equity,362651040.2
BNOX UQ Equity,60148920
BNTX UW Equity,36043812280
BOKF UW Equity,5771250071
BOMN UR Equity,
BOOM UW Equity,380201425.5
BPMC UW Equity,3557553067
BPOP UW Equity,6096820458
BPRN UW Equity,189452160
BPTH UR Equity,21265687.08
BRCN UR Equity,77132169.57
BRID UQ Equity,113914241.6
BRKL UW Equity,1129393683
BRKR UW Equity,8657442964
BRY UW Equity,885932153.8
BSET UW Equity,164605241.3
BSGM UR Equity,29586525.43
BSQR UR Equity,27578573.55
BSRR UW Equity,330685821.4
BSVN UW Equity,217994398
BSY UW Equity,13122392820
BTAI UR Equity,390325812.7
BUSE UW Equity,1251078363
BVS UW Equity,845754052
BVXV UR Equity,15895087.6
BWB UR Equity,443725791
BWEN UR Equity,36633188.88
BWFG UQ Equity,278632034.2
BXRX UR Equity,10324896.19
BYFC UR Equity,107253751.9
BYND UW Equity,2434923216
BYSI UR Equity,65789878.18
BZUN UW Equity,546255117.2
CAAS UR Equity,88853114.88
CABA UW Equity,54139599.36
CAC UW Equity,656952565.5
CACC UW Equity,6800520507
CAKE UW Equity,2078201434
CALA UW Equity,24620199.26
CALM UW Equity,2635434240
CAMP UW Equity,207336076
CAR UW Equity,13547477032
CARA UQ Equity,466243657.5
CARG UW Equity,3972181160
CASA UW Equity,486900658.1
CASH UW Equity,1272585659
CASI UR Equity,56615604.17
CASS UW Equity,507879320.5
CASY UW Equity,7489093839
CATC UR Equity,575901848.7
CATY UW Equity,3051180405
CBAN UQ Equity,299143524.3
CBAT UR Equity,101123718.2
CBAY UW Equity,189678583.4
CBFV UQ Equity,114586251.3
CBIO UR Equity,14860316.72
CBNK UW Equity,312782340
CBRL UW Equity,2713475121
CBSH UW Equity,8391796127
CBTX UW Equity,714077873.1
CCB UW Equity,532139035.7
CCBG UW Equity,444211924.6
CCCC UW Equity,455621947
CCEL UR Equity,53723413
CCEP UW Equity,22674881090
CCLP UW Equity,192050963.8
CCMP UW Equity,5171978030
CCNE UW Equity,426155209.2
CCOI UW Equity,2879428926
CCRN UW Equity,656588457.8
CCXI UW Equity,1335337255
CDEV UR Equity,2241704948
CDK UW Equity,6344968235
CDLX UQ Equity,1223367845
CDMO UR Equity,887266309.5
CDNA UQ Equity,1733360581
CDNS UW Equity,41498971910
CDTX UQ Equity,48003210.31
CDW UW Equity,22149546857
CDXC UR Equity,135985826.1
CDXS UW Equity,828708521.4
CDZI UQ Equity,104042016.1
CECE UW Equity,166611565.2
CELC UR Equity,95639135.82
CELH UR Equity,4064602019
CEMI UR Equity,17292625.96
CENT UW Equity,2308787879
CENTA UW Equity,2308787879
CENX UW Equity,1482513679
CERE UR Equity,4576211378
CERN UW Equity,27592283179
